document,text,font_size,page,x0,y0,x1,y1,label
file01.pdf,Application form for grant of LTC advance,11.67,1,199.86,106.08,437.19,119.1,Title
file01.pdf,1.,9.74,1,70.02,135.94,82.12,147.69,Other
file01.pdf,Name of the Government Servant,9.74,1,96.0,132.99,243.44,144.74,Title
file01.pdf,2.,9.74,1,70.02,154.05,82.12,165.8,Other
file01.pdf,Designation,9.74,1,96.0,151.05,149.33,162.8,Title
file01.pdf,3.,9.74,1,70.02,180.93,82.12,192.68,Other
file01.pdf,Date of entering the Central Government,9.74,1,96.0,169.16,296.02,180.92,Title
file01.pdf,Service,9.74,1,96.0,186.74,129.73,198.49,Title
file01.pdf,4.,9.74,1,70.02,207.8,82.12,219.55,Other
file01.pdf,PAY + SI + NPA,9.74,1,96.0,204.86,168.89,216.61,Title
file01.pdf,5.,9.74,1,70.02,225.92,82.12,237.67,Other
file01.pdf,Whether permanent or temporary,9.74,1,96.0,222.91,244.1,234.67,Title
file01.pdf,6.,9.74,1,70.02,241.1,82.12,252.85,Other
file01.pdf,Home Town as recorded in the Service Book,9.74,1,96.0,241.1,289.53,252.85,Title
file01.pdf,7.,9.74,1,70.02,265.04,82.12,276.79,Other
file01.pdf,Whether wife / husband is employed and if,9.74,1,96.0,253.28,295.95,265.03,Title
file01.pdf,so whether entitled to LTC,9.74,1,96.0,270.86,212.83,282.61,Other
file01.pdf,8.,9.74,1,70.02,309.56,82.12,321.31,Other
file01.pdf,Whether the concession is to be availed for,9.74,1,96.0,288.98,295.95,300.73,Title
file01.pdf,visiting home town and if so block for which,9.74,1,96.0,306.56,296.05,318.31,Title
file01.pdf,LTC is to be availed.,9.74,1,96.0,324.2,186.05,335.95,Title
file01.pdf,9.,9.74,1,70.02,362.83,82.12,374.59,Other
file01.pdf,(a) If the concession is to visit anywhere in,9.74,1,96.0,342.25,296.01,354.01,
file01.pdf,"India, the place to be visited.",9.74,1,96.0,359.89,224.38,371.64,
file01.pdf,(b) Block for which to be availed.,9.74,1,96.0,377.47,241.29,389.22,
file01.pdf,10.,9.74,1,70.02,416.17,88.3,427.93,
file01.pdf,Single,9.74,1,96.0,395.59,124.84,407.35,
file01.pdf,rail,9.74,1,136.14,395.59,152.31,407.35,
file01.pdf,fare/bus,9.74,1,163.6,395.59,202.41,407.35,
file01.pdf,fare,9.74,1,213.71,395.59,233.51,407.35,
file01.pdf,from,9.74,1,244.84,395.59,267.94,407.35,
file01.pdf,the,9.74,1,279.24,395.59,296.08,407.35,
file01.pdf,headquarters to home town/place of visit by,9.74,1,96.0,413.17,296.01,424.93,
file01.pdf,shortest route.,9.74,1,96.0,430.75,161.99,442.5,
file01.pdf,11.,9.74,1,70.02,498.61,88.3,510.36,
file01.pdf,Persons in respect of whom LTC is proposed to be availed.,9.74,1,96.0,448.94,350.76,460.69,
file01.pdf,S.No,9.74,1,96.0,464.06,121.63,475.81,
file01.pdf,Name,9.74,1,211.41,464.06,242.72,475.81,
file01.pdf,Age,9.74,1,343.48,464.06,364.94,475.81,
file01.pdf,Relationship,9.74,1,444.58,464.06,508.57,475.81,
file01.pdf,1.,9.74,1,103.63,476.24,115.73,487.99,
file01.pdf,2.,9.74,1,103.63,488.48,115.73,500.23,
file01.pdf,3.,9.74,1,103.63,500.66,115.73,512.41,
file01.pdf,4.,9.74,1,103.63,512.96,115.73,524.71,
file01.pdf,5.,9.74,1,103.63,529.45,115.73,541.2,
file01.pdf,6.,9.74,1,103.63,541.69,115.73,553.44,
file01.pdf,12. Amount of advance required.,9.74,1,70.03,561.13,223.99,578.76,
file01.pdf,Rs.,9.74,1,304.39,561.13,320.77,572.88,
file01.pdf,I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,9.74,1,105.07,596.84,573.17,608.59,
file01.pdf,undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.74,1,70.03,608.54,499.66,620.29,
file01.pdf,In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.74,1,105.08,632.06,573.17,643.81,
file01.pdf,"advance, I undertake to refund the entire advance in one lump sum.",9.74,1,70.04,643.82,367.66,655.57,
file01.pdf,Date,9.74,1,70.04,678.98,95.88,690.73,
file01.pdf,Signature of Government Servant.,9.74,1,403.04,690.74,572.98,702.49,
file02.pdf,Overview,24.0,1,252.65,189.62,365.95,216.38,
file02.pdf,Foundation Level Extensions,24.0,1,139.35,244.84,479.36,271.6,
file02.pdf,Version 1.0,12.0,1,275.69,382.43,339.82,395.81,
file02.pdf,International Software Testing Qualifications Board,18.0,1,103.34,465.7,513.42,485.77,
file02.pdf,Copyright Notice,9.96,1,70.94,652.29,147.69,663.39,
file02.pdf,"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.96,1,70.94,663.81,484.99,674.92,
file02.pdf,International,9.96,2,447.91,38.63,505.68,49.73,
file02.pdf,Overview,12.0,2,74.42,41.58,127.79,54.96,
file02.pdf,Software Testing,9.96,2,437.95,50.15,515.69,61.25,
file02.pdf,Foundation Level Extension –  Agile Tester,9.96,2,74.42,56.95,265.07,70.24,
file02.pdf,Qualifications,9.96,2,430.75,61.67,493.4,72.77,
file02.pdf,Board,9.96,2,493.55,61.67,522.84,72.77,
file02.pdf,Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.96,2,70.94,120.37,483.25,131.47,
file02.pdf,Version 2014,9.96,2,76.58,718.68,136.51,730.08,
file02.pdf,Page 2 of 12,9.96,2,270.16,718.68,328.36,730.08,
file02.pdf,"May 31, 2014",9.96,2,471.58,718.68,533.13,730.08,
file02.pdf,© International Software Testing Qualifications Board,6.0,2,76.58,736.89,219.29,743.58,
file02.pdf,Qualifications Board,9.96,3,430.75,61.67,522.84,72.77,
file02.pdf,International,9.96,3,447.91,38.63,505.68,49.73,
file02.pdf,Overview,12.0,3,74.42,41.58,127.79,54.96,
file02.pdf,Software Testing,9.96,3,437.95,50.15,515.69,61.25,
file02.pdf,Foundation Level Extension –  Agile Tester,9.96,3,74.42,56.95,265.07,70.24,
file02.pdf,Revision History,15.96,3,70.94,108.94,201.53,126.73,
file02.pdf,Version,9.96,3,74.42,139.45,113.75,150.55,
file02.pdf,Date,9.96,3,146.42,139.45,170.79,150.55,
file02.pdf,Remarks,9.96,3,278.69,139.45,323.6,150.55,
file02.pdf,0.1,9.96,3,74.42,151.81,91.13,162.91,
file02.pdf,18 JUNE 2013,9.96,3,146.42,151.81,214.11,162.91,
file02.pdf,Initial version,9.96,3,278.69,151.81,339.76,162.91,
file02.pdf,0.2,9.96,3,74.42,164.05,91.12,175.15,
file02.pdf,23 JULY 2013,9.96,3,146.42,164.05,212.42,175.15,
file02.pdf,WG reviewed and confirmed,9.96,3,278.69,164.05,407.49,175.15,
file02.pdf,0.3,9.96,3,74.42,176.29,91.12,187.39,
file02.pdf,6 NOV 2013,9.96,3,146.42,176.29,204.15,187.39,
file02.pdf,amended population and diagram,9.96,3,278.69,176.29,430.27,187.39,
file02.pdf,0.7,9.96,3,74.42,188.53,91.13,199.63,
file02.pdf,11 DEC 2013,9.96,3,146.42,188.53,209.08,199.63,
file02.pdf,Amended Business Outcomes and Chapters matching,9.96,3,278.69,188.53,522.17,199.63,
file02.pdf,0.8,9.96,3,74.42,200.77,91.12,211.87,
file02.pdf,20 DEC 2013,9.96,3,146.42,200.77,209.08,211.87,
file02.pdf,Working group updates on 0.7,9.96,3,278.69,200.77,415.52,211.87,
file02.pdf,1.0,9.96,3,74.42,213.01,91.12,224.11,
file02.pdf,31 MAY 2014,9.96,3,146.42,213.01,209.67,224.11,
file02.pdf,GA release for Agile Extension,9.96,3,278.69,213.01,417.5,224.11,
file02.pdf,Version 2014,9.96,3,76.58,718.69,136.52,730.08,
file02.pdf,Page 3 of 12,9.96,3,270.17,718.69,328.36,730.08,
file02.pdf,"May 31, 2014",9.96,3,471.58,718.69,533.13,730.08,
file02.pdf,© International Software Testing Qualifications Board,6.0,3,76.58,736.89,219.29,743.58,
file02.pdf,..........................................................................................................................................,9.96,4,151.82,144.73,535.53,155.83,
file02.pdf,........................................................................................................................................,9.96,4,157.34,162.13,535.53,173.23,
file02.pdf,............................................................................,9.96,4,322.97,179.65,535.54,190.75,
file02.pdf,...............................................................,9.96,4,358.87,197.17,535.51,208.27,
file02.pdf,.....................................................................................................................,9.96,4,195.86,214.8,535.62,225.91,
file02.pdf,............................................................................................................,9.96,4,221.82,226.33,535.63,237.43,
file02.pdf,...................................................................................................................,9.96,4,201.63,237.76,535.63,248.87,
file02.pdf,...................................................................................................................,9.96,4,201.63,249.29,535.63,260.39,
file02.pdf,...................................................................................................,9.96,4,247.74,260.81,535.64,271.92,
file02.pdf,......................................................................................................................,9.96,4,192.99,272.33,535.6,283.44,
file02.pdf,.........................................,9.96,4,414.08,289.73,530.03,300.84,
file02.pdf,.................................................................................................................,9.96,4,201.62,307.37,529.86,318.48,
file02.pdf,....................................................................................................................................,9.96,4,146.9,318.78,529.85,329.88,
file02.pdf,..........................................................................................................................................,9.96,4,146.3,336.18,530.01,347.28,
file02.pdf,.............................................................................................................................,9.96,4,167.07,353.82,529.83,364.92,
file02.pdf,.......................................................................................................,9.96,4,230.46,365.34,529.88,376.45,
file02.pdf,International,9.96,4,447.91,38.63,505.68,49.73,
file02.pdf,Overview,12.0,4,74.42,41.58,127.79,54.96,
file02.pdf,Software Testing,9.96,4,437.95,50.15,515.69,61.25,
file02.pdf,Foundation Level Extension –  Agile Tester,9.96,4,74.42,56.95,265.07,70.24,
file02.pdf,Qualifications,9.96,4,430.75,61.67,493.4,72.77,
file02.pdf,Board,9.96,4,493.55,61.67,522.84,72.77,
file02.pdf,Table of Contents,15.96,4,70.94,108.94,208.76,126.73,
file02.pdf,Revision History,9.96,4,70.94,144.73,152.51,155.83,
file02.pdf,3,9.96,4,535.18,144.73,543.49,155.83,
file02.pdf,Table of Contents,9.96,4,70.94,162.13,158.2,173.23,
file02.pdf,4,9.96,4,535.18,162.13,543.49,173.23,
file02.pdf,1.,9.96,4,70.94,179.65,81.98,190.75,
file02.pdf,Introduction to the Foundation Level Extensions,9.96,4,90.98,179.65,323.45,190.75,
file02.pdf,6,9.96,4,535.18,179.65,543.49,190.75,
file02.pdf,2.,9.96,4,70.94,197.17,81.98,208.27,
file02.pdf,Introduction to Foundation Level Agile Tester Extension,9.96,4,90.98,197.17,360.2,208.27,
file02.pdf,7,9.96,4,535.18,197.17,543.49,208.27,
file02.pdf,2.1,9.96,4,80.9,214.8,97.6,225.91,
file02.pdf,Intended Audience,9.96,4,110.9,214.8,196.9,225.91,
file02.pdf,7,9.96,4,535.18,214.8,543.49,225.91,
file02.pdf,2.2,9.96,4,80.9,226.33,97.6,237.43,
file02.pdf,Career Paths for Testers,9.96,4,110.9,226.33,223.06,237.43,
file02.pdf,7,9.96,4,535.19,226.33,543.5,237.43,
file02.pdf,2.3,9.96,4,80.91,237.76,97.61,248.87,
file02.pdf,Learning Objectives,9.96,4,110.91,237.76,202.0,248.87,
file02.pdf,7,9.96,4,535.19,237.76,543.5,248.87,
file02.pdf,2.4,9.96,4,80.91,249.29,97.61,260.39,
file02.pdf,Entry Requirements,9.96,4,110.91,249.29,202.0,260.39,
file02.pdf,8,9.96,4,535.19,249.29,543.5,260.39,
file02.pdf,2.5,9.96,4,80.91,260.81,97.61,271.92,
file02.pdf,Structure and Course Duration,9.96,4,110.91,260.81,246.32,271.92,
file02.pdf,8,9.96,4,535.19,260.81,543.5,271.92,
file02.pdf,2.6,9.96,4,80.91,272.33,97.61,283.44,
file02.pdf,Keeping It Current,9.96,4,110.91,272.33,191.98,283.44,
file02.pdf,9,9.96,4,535.19,272.33,543.5,283.44,
file02.pdf,3.,9.96,4,70.95,289.73,81.99,300.84,
file02.pdf,Overview of the Foundation Level Extension –  Agile Tester Syllabus,9.96,4,90.99,288.26,413.93,301.55,
file02.pdf,10,9.96,4,529.54,289.73,543.35,300.84,
file02.pdf,3.1,9.96,4,80.9,307.37,97.6,318.48,
file02.pdf,Business Outcomes,9.96,4,110.9,307.37,202.48,318.48,
file02.pdf,10,9.96,4,529.54,307.37,543.35,318.48,
file02.pdf,3.2,9.96,4,80.9,318.78,97.6,329.88,
file02.pdf,Content,9.96,4,110.9,318.78,145.81,329.88,
file02.pdf,10,9.96,4,529.54,318.78,543.35,329.88,
file02.pdf,4.,9.96,4,70.94,336.18,81.98,347.28,
file02.pdf,References,9.96,4,90.98,336.18,147.52,347.28,
file02.pdf,12,9.96,4,529.54,336.18,543.35,347.28,
file02.pdf,4.1,9.96,4,80.9,353.82,97.6,364.92,
file02.pdf,Trademarks,9.96,4,110.9,353.82,166.86,364.92,
file02.pdf,12,9.96,4,529.55,353.82,543.36,364.92,
file02.pdf,4.2,9.96,4,80.91,365.34,97.61,376.45,
file02.pdf,Documents and Web Sites,9.96,4,110.91,365.34,229.22,376.45,
file02.pdf,12,9.96,4,529.55,365.34,543.36,376.45,
file02.pdf,Version 2014,9.96,4,76.6,718.71,136.53,730.11,
file02.pdf,Page 4 of 12,9.96,4,270.18,718.71,328.38,730.11,
file02.pdf,"May 31, 2014",9.96,4,471.6,718.71,533.15,730.11,
file02.pdf,© International Software Testing Qualifications Board,6.0,4,76.58,736.89,219.29,743.58,
file02.pdf,International,9.96,5,447.91,38.63,505.68,49.73,
file02.pdf,Overview,12.0,5,74.42,41.58,127.79,54.96,
file02.pdf,Software Testing,9.96,5,437.95,50.15,515.69,61.25,
file02.pdf,Foundation Level Extension –  Agile Tester,9.96,5,74.42,56.95,265.07,70.24,
file02.pdf,Qualifications,9.96,5,430.75,61.67,493.4,72.77,
file02.pdf,Board,9.96,5,493.55,61.67,522.84,72.77,
file02.pdf,Acknowledgements,15.96,5,70.94,108.94,213.74,126.73,
file02.pdf,This document was produced by a team from the International Software Testing Qualifications Board,9.96,5,70.94,144.85,518.44,155.95,
file02.pdf,Foundation Level Working Group.,9.96,5,70.94,156.25,222.99,167.36,
file02.pdf,The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,9.96,5,70.94,179.29,542.42,190.39,
file02.pdf,"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",9.96,5,70.94,202.33,529.79,213.43,
file02.pdf,"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",9.96,5,70.94,213.73,506.3,224.83,
file02.pdf,"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",9.96,5,70.94,225.25,542.88,236.36,
file02.pdf,"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",9.96,5,70.94,236.81,481.54,247.91,
file02.pdf,"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",9.96,5,70.94,259.84,509.54,270.95,
file02.pdf,"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",9.96,5,70.94,271.37,391.88,282.47,
file02.pdf,"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",9.96,5,70.94,294.29,486.69,305.39,
file02.pdf,"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",9.96,5,70.94,305.81,527.41,316.92,
file02.pdf,"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",9.96,5,70.94,317.33,529.53,328.44,
file02.pdf,"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",9.96,5,70.94,328.86,329.84,339.96,
file02.pdf,"The team thanks also the following persons, from the National Boards and the Agile expert community,",9.96,5,70.94,351.78,527.22,362.88,
file02.pdf,"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",9.96,5,70.94,363.3,542.87,374.4,
file02.pdf,"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",9.96,5,70.94,374.82,526.38,385.93,
file02.pdf,"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",9.96,5,70.94,386.37,531.73,397.47,
file02.pdf,"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",9.96,5,70.94,397.89,540.64,409.0,
file02.pdf,"Morgan,  Ninna Morin,  Ingvar Nordstrom,  Chris  O’Dea,  Klaus  Olsen, Ismo  Paukamainen,  Nathalie Phung,",9.96,5,70.94,407.94,536.59,421.23,
file02.pdf,"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",9.96,5,70.94,420.82,521.8,431.92,
file02.pdf,"Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,",9.96,5,70.94,432.34,511.47,443.45,
file02.pdf,"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",9.96,5,70.94,443.87,535.68,454.97,
file02.pdf,"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",9.96,5,70.94,455.39,452.93,466.49,
file02.pdf,"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,",9.96,5,70.94,478.31,526.28,489.41,
file02.pdf,2014.,9.96,5,70.94,489.83,98.54,500.94,
file02.pdf,Version 2014,9.96,5,76.58,718.74,136.51,730.14,
file02.pdf,Page 5 of 12,9.96,5,270.16,718.74,328.36,730.14,
file02.pdf,"May 31, 2014",9.96,5,471.58,718.74,533.13,730.14,
file02.pdf,© International Software Testing Qualifications Board,6.0,5,76.58,736.89,219.29,743.58,
file02.pdf,Qualifications Board,9.96,6,430.75,61.67,522.84,72.77,
file02.pdf,International,9.96,6,447.91,38.63,505.68,49.73,
file02.pdf,Overview,12.0,6,74.42,41.58,127.79,54.96,
file02.pdf,Software Testing,9.96,6,437.95,50.15,515.69,61.25,
file02.pdf,Foundation Level Extension –  Agile Tester,9.96,6,74.42,56.95,265.07,70.24,
file02.pdf,1. Introduction to the Foundation Level Extensions,15.96,6,70.94,122.98,466.02,140.77,
file02.pdf,This overview document is intended for anyone with an interest in the ISTQB Foundation Level,9.96,6,70.94,146.29,543.97,157.39,
file02.pdf,Extensions who wants a high-level introduction to the leading principles and an overview of the individual,9.96,6,70.94,157.81,543.78,168.92,
file02.pdf,extension syllabi.,9.96,6,70.94,169.33,149.68,180.44,
file02.pdf,"From time to time, ISTQB will update this document to reflect any additional extensions that shall be",9.96,6,70.94,192.25,543.96,203.36,
file02.pdf,"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the",9.96,6,70.94,203.78,544.09,214.88,
file02.pdf,updated document will be available on the ISTQB website.,9.96,6,70.94,215.3,332.06,226.4,
file02.pdf,The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,9.96,6,70.94,238.37,543.94,249.47,
file02.pdf,some time. New topics emerge due to technology and methodology changes in the market which often,9.96,6,70.94,249.77,544.08,260.88,
file02.pdf,"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",9.96,6,70.94,261.29,543.97,272.4,
file02.pdf,"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the",9.96,6,70.94,272.82,543.92,283.92,
file02.pdf,ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,9.96,6,70.94,284.34,543.69,295.45,
file02.pdf,"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",9.96,6,70.94,295.87,543.93,306.97,
file02.pdf,that is beyond the scope of this document.,9.96,6,70.94,307.39,260.84,318.49,
file02.pdf,The following Foundation Level Extension syllabus has been released:,9.96,6,70.94,330.31,385.53,341.41,
file02.pdf,,9.96,6,88.95,341.07,96.02,354.36,
file02.pdf,Agile Tester,9.96,6,106.95,342.55,163.03,353.65,
file02.pdf,"In this document, each Foundation Level Extension syllabus is summarized and the associated Business",9.96,6,70.95,365.47,543.87,376.57,
file02.pdf,Outcomes are stated. The Business Outcomes communicate what can be expected from a person who,9.96,6,70.95,376.99,543.74,388.1,
file02.pdf,"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and",9.96,6,70.95,388.53,544.06,399.64,
file02.pdf,will outline the benefits for companies that are considering the development of specific testing skills at this,9.96,6,70.95,400.06,543.94,411.16,
file02.pdf,level.,9.96,6,70.95,411.58,96.88,422.69,
file02.pdf,Version 2014,9.96,6,76.59,718.73,136.52,730.12,
file02.pdf,Page 6 of 12,9.96,6,270.17,718.73,328.37,730.12,
